    Date           Stock     Reported  Dollar Value     Warrants
 (yyyymmdd)       Volume       Trades     (mils. $)       Volume
    19900810    145341890        76216        4997.9      1254900
    19900813    122825430        65787        4107.5       824800
    19900814    130329970        70795        4383.5       886700
    19900815    135269180        63980        4574.3       799900
    19900816    138861670        65960        4711.3      1319600
    19900817    212556510        88712        7482.6      3619800
    19900820    129640300        75353        4202.9      1005600
    19900821    194708740        93542        6390.0      1544900
    19900822    175565670        86319        5595.3      1286200
    19900823    250548530       105103        7841.2      4439200
    19900824    199059780       100425        6355.7      2026200
    19900827    160041100        81623        5218.8      1924000
    19900828    127675970        67156        4010.1       762300
    19900829    134243550        69489        4390.4      1035200
    19900830    120888960        69511        3881.0       599000
    19900831     96490960        54974        2938.1       485600
    19900904     92945850        51155        2938.8       443600
    19900905    120632680        61629        3914.7       792700
    19900906    125622850        61165        4013.0      1061800
    19900907    123802280        64937        3847.8       640100
    19900910    119728550        65419        3829.7       573700
    19900911    113254590        56669        3517.1       461700
    19900912    129895540        57909        3976.5       682300
    19900913    123396060        61397        3835.2       701400
    19900914    133368710        63296        4105.5       573700
    19900917    110608890        56840        3496.0       402000
    19900918    141129580        69969        4428.5      1020500
    19900919    147557140        66665        4783.0      1199600
    19900920    145112000        66244        4678.0       906900
    19900921    201054180        72046        6421.9       681900
    19900924    162212960        82022        4707.2       664300
    19900925    155943590        74528        4699.3       749500
    19900926    155619990        72946        4734.4       760200
    19900927    182694970        81559        5152.1       849700
    19900928    201037360        84541        5708.6      1283800
    19901001    202222110        91470        6409.6      1459400
    19901002    188416800        85937        5928.5      1351700
    19901003    135492560        65339        4060.1       675300
    19901004    145411530        68899        4248.3       718700
    19901005    153391860        75102        4761.2      1216200
    19901008     99459050        48393        2935.0       626000
    19901009    145590460        65349        4501.5       839800
    19901010    167867260        82355        5335.0      1119500
    19901011    180058770        82728        5558.9      2955900
    19901012    187944370        83310        5629.2      1236900
    19901015    164981310        84112        5141.6      1191000
    19901016    149579530        72354        4268.6       941500
    19901017    161258600        70971        4562.6      1211700
    19901018    204112900        79402        6236.2      1398200
    19901019    221715890        79844        7466.8      1981100
    19901022    152678930        74498        4840.2      1216100
    19901023    146287440        73238        4430.1      1021200
    19901024    149293390        66861        4311.7       752600
    19901025    141461600        63449        4178.9       553000
    19901026    130195440        58679        3466.0       883200
    19901029    133975280        69042        3878.4       870600
    19901030    153447260        74489        4339.5       649200
    19901031    156061280        64937        4348.9       925400
    19901101    159287670        73097        4681.8      1433800
    19901102    168691370        68379        4954.2      1577900
    19901105    147507660        70806        4357.3      1833500
    19901106    141131718        66350        3981.3      1433400
    19901107    149143240        67990        4468.1       916700
    19901108    155570400        72631        4658.9      1237100
    19901109    145162670        73078        4381.7      1488400
    19901112    161402880        69599        4949.3      2114700
    19901113    160206990        72888        4796.5      1612000
    19901114    179318990        79882        5323.2      1487500
    19901115    151383580        67536        4544.1       962700
    19901116    165413090        68617        5218.6       838900
    19901119    140952750        69165        4400.0       833300
    19901120    161233460        67151        4682.7       861800
    19901121    140656430        65628        4154.0      1401800
    19901123     63351720        33528        1872.4       459400
    19901126    131240920        68237        4112.2      1121600
    19901127    147590930        71799        4554.2      1282900
    19901128    145485680        66303        4314.7       900400
    19901129    141037340        67509        4199.0       655200
    19901130    192349070        91658        5933.6      1934000
    19901203    177019540        74469        5658.1       639100
    19901204    185822940        80647        5594.1       719600
    19901205    205824540        82682        6146.1      2885800
    19901206    256382090        96225        8579.5      2149800
    19901207    164932480        78892        5228.0      1359500
    19901210    138651560        73637        4123.8       899500
    19901211    145328390        71386        4200.9      1041400
    19901212    182479130        86744        5726.7      1083000
    19901213    162108740        82464        4908.2       886300
    19901214    150870320        79993        4715.7       841400
    19901217    118630320        75785        3289.9      1141000
    19901218    174910280        88612        5251.8      1571700
    19901219    179115670        86910        5389.0      1281500
    19901220    173899430        90127        8064.1       847100
    19901221    232633130       106393        7443.9       824300
    19901224     56852810        37941        1535.9       351700
    19901226     78120540        50481        2156.8       627600
    19901227    102160550        64138        2802.0       732200
    19901228    110231350        68643        2765.7      1058000
    19901231    113362560        80451        2561.3       843800
    19910102    125675790        72738        3989.3       604000
    19910103    140784460        71229        4511.4       679100
    19910104    140075020        75403        4559.7       706700
    19910107    129282720        72764        3943.6      1348200
    19910108    142616020        78821        4560.1       776000
    19910109    189610370       106359        6022.5      1532400
    19910110    123895530        66825        3666.0       605400
    19910111    122136190        59483        3486.3       976700
    19910114    119782770        77135        3642.3      1044200
    19910115    109095140        64279        3110.8       902500
    19910116    133422470        70805        4149.9      1033200
    19910117    315889630       158626       10376.5      2991000
    19910118    227967010       130325        8140.9      1153600
    19910121    135289740        87291        4491.9      1039700
    19910122    174673890        92580        5470.7       906800
    19910123    168335871        90487        5364.0      1097500
    19910124    221668270       114355        6867.9      1519300
    19910125    193410660        94311        6125.8       962900
    19910128    139970570        82396        4541.6      1291000
    19910129    154785360        84106        4956.3       986300
    19910130    225018530       108477        7297.6      1806700
    19910131    203006320       104892        6489.3      1293200
    19910201    244143240       128718        7701.1      2526900
    19910204    248926130       128886        7330.1      1832400
    19910205    288306190       150855        8712.6      2273200
    19910206    275147650       152421        8954.8      2482800
    19910207    289247580       171748        9714.2      3021400
    19910208    186356240       116748        5971.9      1489200
    19910211    263980550       156996        8528.8      1438600
    19910212    255119280       172040        8874.8      1033900
    19910213    208994070       138364        7073.1       995300
    19910214    229299780       147773        7811.5      1441200
    19910215    226407190       128354        8516.0       676400
    19910219    189064210       125761        6568.3       840100
    19910220    185144900       109906        6367.5       524900
    19910221    179624090       108072        6009.0      1144600
    19910222    216923410       134334        7653.3      1838100
    19910225    192380630       125477        6615.4      1392400
    19910226    162818540       105984        5554.5      1400500
    19910227    210011530       117880        6963.6      1403500
    19910228    221026910       131333        7195.4      2001600
    19910301    218530750       126694        6909.4      2986800
    19910304    198576130       130226        5877.1      1261300
    19910305    249868410       144020        8101.0      3790700
    19910306    260319280       167213        8707.2      1959900
    19910307    195432980       117991        6238.1      1653600
    19910308    205286340       130095        6714.6      1599100
    19910311    160431940       102150        4987.0      1103800
    19910312    175277730       108185        5579.0      1191700
    19910313    174501430       107296        5761.3      1422300
    19910314    229818820       128133        7824.6      1177300
    19910315    238229510       132092        8883.4       743700
    19910318    162427700       101390        5699.4       666900
    19910319    175877670       108641        6491.7      1162300
    19910320    195038450       114707        6711.5      1565500
    19910321    198546970       119338        6692.6      1269200
    19910322    160251260        94300        5586.5       555500
    19910325    152826320        99104        5055.0      1103300
    19910326    197630050       115013        6672.8      1105800
    19910327    201083900       124507        6958.1       730600
    19910328    150179350        99686        4824.9       583500
    19910401    143526160       102453        4743.3       448800
    19910402    189187150       113586        6212.7       353500
    19910403    213042590       130157        7205.3       692100
    19910404    197636990       120676        6465.4       465400
    19910405    186876470       130881        6209.8       524700
    19910408    138287980        93018        4397.9       313600
    19910409    169542720       111121        5546.7       376600
    19910410    174588810        97573        5470.8       405600
    19910411    196036961       112025        6488.1       410000
    19910412    197987750       114307        6457.5       583900
    19910415    160779820       108654        5459.9       943400
    19910416    214017950       128938        7199.5       539000
    19910417    246434960       143867        8618.8       496300
    19910418    216889200       126521        7173.9       426455
