        DATE            STOCK
        VOLUME

        19810527         58733180
        19810528         59501550
        19810529         51585820
        19810601         62166613
        19810602         53930590
        19810603         54704850
        19810604         48946230
        19810605         47184800
        19810608         41579550
        19810609         44614200
        19810610         53204780
        19810611         59535410
        19810612         60795430
        19810615         63349480
        19810616         57778240
        19810617         55473150
        19810618         48400810
        19810619         46427960
        19810622         41790950
        19810623         51848130
        19810624         46654264
        19810625         43916770
        19810626         39249010
        19810629         37930800
        19810630         41559420
        19810701         49079660
        19810702         45097810
        19810706         44591240
        19810707         53558580
        19810708         46008600
        19810709         45511030
        19810710         39956570
        19810713         38101700
        19810714         45234310
        19810715         48951141
        19810716         39011525
        19810717         42780170
        19810720         40241440
        19810721         47267240
        19810722         47497140
        19810723         41881660
        19810724         38881660
        19810727         39611207
        19810728         38155961
        19810729         37612210
        19810730         41556300
        19810731         43476750
        19810803         39656910
        19810804         39474680
        19810805         54279820
        19810806         52072900
        19810807         38380010
        19810810         38372330
        19810811         52596930
        19810812         53657620
        19810813         42444139
        19810814         42575630
        19810817         40843910
        19810818         47268180
        19810819         39393985
        19810820         38270010
        19810821         37673811
        19810824         46747000
        19810825         54603300
        19810826         39986930
        19810827         43911430
        19810828         38022360
        19810831         40360380
        19810901         45110860
        19810902         37570210
        19810903         41728590
        19810904         42757590
        19810908         47335870
        19810909         43908415
        19810910         47409358
        19810911         42166220
        19810914         34040450
        19810915         38584667
        19810916         43624111
        19810917         48296410
        19810918         47347750
        19810921         44565900
        19810922         46814830
        19810923         52695570
        19810924         48882860
        19810925         54392800
        19810928         61322055
        19810929         49798160
        19810930         40701250
        19811001         41597220
        19811002         54577990
        19811005         51287540
        19811006         45458400
        19811007         50027150
        19811008         47085610
        19811009         50062280
        19811012         30056990
        19811013         43078570
        19811014         40255140
        19811015         42827940
        19811016         37803850
        19811019         41583710
        19811020         51532680
        19811021         48488200
        19811022         40631570
        19811023         41986770
        19811026         38205310
        19811027         53033370
        19811028         48104260
        19811029         40072810
        19811030         58563520
        19811102         65124030
        19811103         54626830
        19811104         53474719
        19811105         50865550
        19811106         43266920
        19811109         48307150
        19811110         53938500
        19811111         41941250
        19811112         55718240
        19811113         45576160
        19811116         43740040
        19811117         43195050
        19811118         49982750
        19811119         48723220
        19811120         52015100
        19811123         45278360
        19811124         53378400
        19811125         58572870
        19811127         32772960
        19811130         47576370
        19811201         53995701
        19811202         44507350
        19811203         43771990
        19811204         55041680
        19811207         45721690
        19811208         45143100
        19811209         44805520
        19811210         47022620
        19811211         45848130
        19811214         44817574
        19811215         44131250
        19811216         42377000
        19811217         47224230
        19811218         50950240
        19811221         41314830
        19811222         48322180
        19811223         42907190
        19811224         23944660
        19811228         28316650
        19811229         35243610
        19811230         42963220
        19811231         40780370
        19820104         36759892
        19820105         47504550
        19820106         51509220
        19820107         43420440
        19820108         42046160
        19820111         51908310
        19820112         49800110
        19820113         49132810
        19820114         42942170
        19820115         43314180
        19820118         44918750
        19820119         45067680
        19820120         48862470
        19820121         48609470
