# year,month,words,vocab,churn,rank
2000,11,173597.0,10694,0.177,0.855642978737
2000,12,154137.0,10208,0.166,0.85638619777
2001,01,152678.0,10481,0.169,0.849425315358
2001,02,159835.0,10119,0.179,0.856141500588
2001,03,147307.0,9883,0.163,0.84997623534
2001,04,163654.0,11034,0.158,0.869473419506
2001,05,172458.0,12364,0.173,0.86356364563
2001,06,185926.0,12697,0.176,0.842792675854
2001,07,172547.0,11728,0.178,0.836016300818
2001,08,156071.0,11359,0.178,0.845939817251
2001,09,151021.0,11037,0.167,0.85758450624
2001,10,154773.0,11434,0.166,0.864631950638
2001,11,186843.0,11986,0.172,0.864297637701
2001,12,169788.0,11415,0.154,0.87092266103
2002,01,165721.0,11238,0.153,0.869353799411
2002,02,160422.0,11232,0.16,0.852228438058
2002,03,158119.0,11422,0.156,0.870169548457
2002,04,174803.0,12244,0.175,0.847919519512
2002,05,191271.0,12267,0.172,0.849519423053
2002,06,188791.0,11122,0.163,0.87123611494
2002,07,171817.0,10317,0.177,0.852816237535
2002,08,155404.0,9808,0.159,0.87084494494
2002,09,157861.0,10045,0.154,0.871031026757
2002,10,180385.0,10847,0.171,0.869274180096
2002,11,187530.0,10710,0.181,0.846978080596
2002,12,166034.0,9900,0.168,0.860638570181
2003,01,170918.0,9969,0.155,0.879804446636
2003,02,176773.0,10118,0.153,0.852670293661
2003,03,171570.0,10334,0.16,0.864678105776
2003,04,187854.0,11093,0.148,0.877698057308
2003,05,200105.0,11052,0.146,0.871595511097
2003,06,212584.0,11262,0.147,0.861133307769
2003,07,244448.0,11565,0.153,0.869768052518
2003,08,212134.0,10813,0.148,0.884259028543
2003,09,194200.0,10549,0.138,0.885527242804
2003,10,214401.0,10731,0.156,0.88595438799
2003,11,204335.0,10359,0.156,0.879414979283
2003,12,175129.0,9905,0.144,0.891691117952
2004,01,182563.0,9946,0.155,0.882344874518
2004,02,174887.0,9730,0.154,0.868901958595
2004,03,184030.0,10128,0.154,0.871761772572
2004,04,197799.0,10405,0.15,0.888208432631
2004,05,183497.0,9870,0.142,0.887008747212
2004,06,176882.0,10049,0.157,0.868564215338
2004,07,182760.0,9948,0.163,0.872238301052
2004,08,162868.0,9417,0.165,0.867281024747
2004,09,167056.0,9893,0.198,0.858868940857
2004,10,58600.0,7065,0.198,0.842376632674
