sdate,nyse_volume,nyse_trades,nyse_dv,nyse_warrants_volume
19900724,181920620.00,92802.00,6666.10,1389000
19900725,163532510.00,73456.00,5655.90,858400
19900726,155044880.00,74617.00,5543.60,710200
19900727,149089040.00,71740.00,5416.60,904600
19900730,146477070.00,74335.00,5190.70,620100
19900731,173837130.00,80964.00,6157.10,784900
19900801,176814390.00,80424.00,6169.80,752600
19900802,253042940.00,91725.00,9705.90,2721000
19900803,292363500.00,121675.00,11065.00,2704700
19900806,240460160.00,107120.00,8375.00,2101900
19900807,231580510.00,107969.00,8483.30,1367000
19900808,190378920.00,91212.00,6714.80,1366700
19900809,155818480.00,71466.00,8265.00,1110500
19900810,145341890.00,76216.00,4997.90,1254900
19900813,122825430.00,65787.00,4107.50,824800
19900814,130329970.00,70795.00,4383.50,886700
19900815,135269180.00,63980.00,4574.30,799900
19900816,138861670.00,65960.00,4711.30,1319600
19900817,212556510.00,88712.00,7482.60,3619800
19900820,129640300.00,75353.00,4202.90,1005600
19900821,194708740.00,93542.00,6390.00,1544900
19900822,175565670.00,86319.00,5595.30,1286200
19900823,250548530.00,105103.00,7841.20,4439200
19900824,199059780.00,100425.00,6355.70,2026200
19900827,160041100.00,81623.00,5218.80,1924000
19900828,127675970.00,67156.00,4010.10,762300
19900829,134243550.00,69489.00,4390.40,1035200
19900830,120888960.00,69511.00,3881.00,599000
19900831,96490960.00,54974.00,2938.10,485600
19900904,92945850.00,51155.00,2938.80,443600
19900905,120632680.00,61629.00,3914.70,792700
19900906,125622850.00,61165.00,4013.00,1061800
19900907,123802280.00,64937.00,3847.80,640100
19900910,119728550.00,65419.00,3829.70,573700
19900911,113254590.00,56669.00,3517.10,461700
19900912,129895540.00,57909.00,3976.50,682300
19900913,123396060.00,61397.00,3835.20,701400
19900914,133368710.00,63296.00,4105.50,573700
19900917,110608890.00,56840.00,3496.00,402000
19900918,141129580.00,69969.00,4428.50,1020500
19900919,147557140.00,66665.00,4783.00,1199600
19900920,145112000.00,66244.00,4678.00,906900
19900921,201054180.00,72046.00,6421.90,681900
19900924,162212960.00,82022.00,4707.20,664300
19900925,155943590.00,74528.00,4699.30,749500
19900926,155619990.00,72946.00,4734.40,760200
19900927,182694970.00,81559.00,5152.10,849700
19900928,201037360.00,84541.00,5708.60,1283800
19901001,202222110.00,91470.00,6409.60,1459400
19901002,188416800.00,85937.00,5928.50,1351700
19901003,135492560.00,65339.00,4060.10,675300
19901004,145411530.00,68899.00,4248.30,718700
